difficulty,length,name,rating,platform,sales,type1,type2
3.89,37.95,Fast RMX,3.99,switch,100,racing,None
3.73,15.92,Axiom Verge,3.99,switch,100,action,None
2.63,5.47,Deltarune: Chapter 1,3.98,switch,100,role-playing,None
3.19,27.63,Ultra Street Fighter II: The Final Challengers,3.98,switch,200,action,None
3.25,19.83,Sonic Mania Plus,4.28,switch,200,action,None
2.94,79.95,Rune Factory 4 Special,4.28,switch,200,role-playing,None
3.13,80.0,Disgaea 5 Complete,4.28,switch,500,strategy,None
4.09,22.18,Celeste,4.27,switch,500,action,None
3.85,49.66,Hades,4.27,switch,200,action,adventure
3.02,26.27,Pikmin 3 Deluxe,4.27,switch,100,strategy,None
3.35,80.0,The Witcher 3: Wild Hunt - Complete Edition,4.27,switch,200,role-playing,None
3.64,24.34,Bayonetta 2,4.27,switch,200,action,adventure
3.28,15.9,Cadence of Hyrule: Crypt of the NecroDancer Featuring The Legend of Zelda,4.15,switch,200,action,None
2.95,67.14,Dragon Quest Builders,4.15,switch,200,action,adventure
3.87,25.02,Bayonetta,4.13,switch,200,action,adventure
3.69,51.92,Wargroove,4.13,switch,100,strategy,None
2.81,77.0,Story of Seasons: Friends of Mineral Town,4.12,switch,100,strategy,None
3.08,53.79,Pokemon Mystery Dungeon: Rescue Team DX,4.11,switch,200,role-playing,None
3.0,52.2,Fate/Extella: The Umbral Star,3.98,switch,100,action,None
2.85,13.68,Shantae: Half-Genie Hero,3.97,switch,100,action,None
3.61,15.74,Ori and the Blind Forest: Definitive Edition,4.27,switch,100,action,None
3.03,78.15,Final Fantasy X / X-2 HD Remaster,4.26,switch,100,miscellaneous,None
3.53,13.83,Streets of Rage 4,4.25,switch,100,action,None
3.08,57.04,Final Fantasy IX,4.25,switch,200,role-playing,None
3.1,66.81,Splatoon 2,4.25,switch,500,action,None
3.02,51.26,Daemon X Machina,4.11,switch,200,simulation,None
3.73,13.99,Cave Story +,4.11,switch,100,action,None
2.77,34.44,South Park: The Fractured But Whole,4.11,switch,100,role-playing,None
2.94,42.74,Trials of Mana,4.11,switch,200,role-playing,None
3.36,6.2,Katana ZERO,4.11,switch,100,action,None
3.31,36.19,Astral Chain,4.11,switch,500,action,adventure
3.13,40.4,Dragon Ball FighterZ,4.1,switch,200,action,None
3.05,59.93,Final Fantasy VIII Remastered,4.1,switch,100,role-playing,None
3.43,26.25,DOOM,4.1,switch,200,action,None
2.88,64.67,Grandia HD Collection,4.1,switch,100,miscellaneous,None
2.33,15.24,Cat Quest,3.96,switch,100,role-playing,None
4.43,59.52,Enter the Gungeon,3.96,switch,100,action,None
2.16,42.92,LEGO City Undercover,3.96,switch,100,action,adventure
2.03,4.92,GRIS,3.95,switch,100,action,None
2.7,23.5,Captain Toad: Treasure Tracker,3.95,switch,200,miscellaneous,None
3.07,51.49,NEO: The World Ends With You,4.25,switch,100,role-playing,None
3.33,77.12,Dragon's Dogma: Dark Arisen,4.24,switch,100,role-playing,None
3.07,80.0,The Elder Scrolls V: Skyrim,4.24,switch,500,role-playing,None
3.13,80.0,Xenoblade Chronicles 2,4.24,switch,500,role-playing,None
3.16,16.0,Sonic Mania,4.23,switch,500,action,None
2.68,30.22,New Pokemon Snap,4.09,switch,200,action,None
3.07,44.75,The Legend of Zelda: Skyward Sword HD,4.09,switch,500,action,adventure
3.36,71.25,Bravely Default II,4.09,switch,500,role-playing,None
3.36,14.18,Blaster Master Zero II,4.09,switch,100,action,None
2.99,14.32,WarioWare: Get It Together!,3.95,switch,100,miscellaneous,None
2.86,21.42,Golf Story,3.94,switch,200,action,adventure
3.03,24.0,New Super Mario Bros. U Deluxe,3.94,switch,200,action,None
3.26,10.21,Wonder Boy: The Dragon's Trap,3.94,switch,200,action,None
3.33,59.19,Ni no Kuni: Wrath of the White Witch,3.94,switch,100,role-playing,None
3.48,48.26,Rocket League,3.93,switch,100,sports,None
3.71,35.01,Street Fighter: 30th Anniversary Collection,3.91,switch,100,miscellaneous,None
3.31,40.5,Super Mario Bros. 35,3.9,switch,100,action,None
2.99,13.97,"Snipperclips - Cut it out, together!",3.9,switch,100,miscellaneous,None
3.01,76.82,Monster Hunter Stories 2: Wings of Ruin,4.23,switch,100,role-playing,None
3.9,37.48,Castlevania Anniversary Collection,4.21,switch,100,miscellaneous,None
3.4,53.33,The World Ends with You: Final Remix,4.21,switch,200,role-playing,None
2.85,17.49,SteamWorld Dig 2,4.21,switch,100,action,None
3.82,28.53,Donkey Kong Country: Tropical Freeze,4.21,switch,500,action,None
2.84,22.08,The Legend of Zelda: Link's Awakening,4.2,switch,500,action,adventure
4.4,24.29,Cuphead,4.2,switch,200,action,None
2.99,72.81,Diablo III: Eternal Collection,4.2,switch,200,role-playing,None
2.73,74.15,Minecraft,4.08,switch,500,action,adventure
3.06,15.55,Blaster Master Zero,4.07,switch,200,action,None
2.97,62.23,Pokemon Legends: Arceus,4.07,switch,500,role-playing,None
3.66,13.33,River City Girls,4.07,switch,100,action,None
3.71,74.23,Shin Megami Tensei V,4.06,switch,200,role-playing,None
3.29,62.03,Dragon Ball: Xenoverse 2,3.89,switch,200,action,None
2.91,78.47,Rune Factory 5,3.88,switch,100,role-playing,None
2.89,59.78,Fire Emblem Warriors,3.88,switch,200,action,None
3.16,40.29,Pokken Tournament DX,3.87,switch,200,action,None
3.6,38.22,Crash Team Racing: Nitro-Fueled,3.87,switch,100,racing,None
3.64,69.49,Ring Fit Adventure,4.06,switch,100,miscellaneous,None
3.77,13.06,Mega Man 11,4.06,switch,200,action,None
3.34,25.41,Monster Boy and the Cursed Kingdom,4.05,switch,100,action,None
2.99,45.56,Mario Party Superstars,4.05,switch,100,miscellaneous,None
3.06,61.57,Hyrule Warriors: Age of Calamity,4.04,switch,200,action,None
3.12,57.88,Super Mario 3D All-Stars,4.04,switch,200,miscellaneous,None
2.91,38.56,Spyro Reignited Trilogy,4.03,switch,100,miscellaneous,None
2.95,55.51,Atelier Ryza: Ever Darkness &amp; the Secret Hideout,4.03,switch,100,role-playing,None
3.0,51.21,Phoenix Wright: Ace Attorney Trilogy,3.86,switch,100,miscellaneous,None
2.09,18.83,Kirby Star Allies,3.84,switch,200,action,None
3.8,41.15,Tetris 99,3.84,switch,200,miscellaneous,None
3.11,51.48,Immortals Fenyx Rising,3.84,switch,100,action,adventure
2.41,13.28,Blossom Tales: The Sleeping King,3.84,switch,100,action,adventure
3.91,42.35,Crash Bandicoot N. Sane Trilogy,3.84,switch,200,miscellaneous,None
3.1,71.4,Super Dragon Ball Heroes: World Mission,3.83,switch,100,strategy,None
2.51,21.9,Yoshi's Crafted World,3.82,switch,200,action,None
2.97,37.52,I Am Setsuna,3.81,switch,100,role-playing,None
3.19,56.42,Shining Resonance Refrain,3.8,switch,100,role-playing,None
2.93,55.4,The Great Ace Attorney Chronicles,3.8,switch,100,miscellaneous,None
3.07,76.06,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,3.79,switch,100,strategy,None
3.6,16.41,Overcooked!: Special Edition,3.79,switch,100,action,None
3.4,44.54,Marvel Ultimate Alliance 3: The Black Order,3.78,switch,200,role-playing,None
3.14,29.03,Yooka-Laylee,3.78,switch,100,action,None
3.05,45.85,BlazBlue: Cross Tag Battle,3.77,switch,100,action,None
3.61,35.75,ARMS,3.77,switch,200,action,None
2.04,41.45,"Pokemon: Let's Go, Eevee!",3.73,switch,200,role-playing,None
2.97,35.18,Clubhouse Games: 51 Worldwide Classics,3.72,switch,100,miscellaneous,None
2.58,46.17,LEGO Marvel Super Heroes 2,3.7,switch,100,action,None
3.01,14.12,Travis Strikes Again: No More Heroes,3.7,switch,100,action,None
3.03,33.77,Super Kirby Clash,3.69,switch,100,action,None
3.0,52.6,Tokyo Mirage Sessions #FE Encore,3.69,switch,200,role-playing,None
2.88,35.26,Paper Mario: The Origami King,3.68,switch,200,role-playing,None
3.16,43.14,Starlink: Battle for Atlas,3.68,switch,100,simulation,None
3.24,26.9,Mario Tennis Aces,3.68,switch,200,sports,None
3.05,14.53,Dragon Quest,3.67,switch,100,role-playing,None
2.76,30.81,Super Mario Party,3.67,switch,200,miscellaneous,None
2.64,7.35,Kamiko,3.67,switch,100,action,adventure
2.7,56.07,Pokemon Shining Pearl,3.62,switch,100,role-playing,None
2.75,78.45,Disgaea 6: Defiance of Destiny,3.62,switch,100,strategy,None
2.74,8.76,Untitled Goose Game,3.62,switch,200,action,adventure
2.05,37.49,"Pokemon: Let's Go, Pikachu!",3.62,switch,200,role-playing,None
3.39,36.14,Mortal Kombat 11,3.62,switch,100,action,None
3.1,34.54,Bloodstained: Ritual of the Night,3.6,switch,200,action,None
2.59,74.35,Story of Seasons: Pioneers of Olive Town,3.55,switch,100,strategy,None
3.89,11.9,Snake Pass,3.55,switch,100,miscellaneous,None
3.39,50.93,Shin Megami Tensei III: Nocturne HD Remaster,3.55,switch,100,role-playing,None
2.61,56.4,Pokemon Brilliant Diamond,3.54,switch,200,role-playing,None
3.36,21.68,Super Bomberman R,3.52,switch,200,miscellaneous,None
2.88,32.2,Mario Golf: Super Rush,3.47,switch,100,sports,None
3.63,67.2,Fortnite,3.46,switch,200,action,None
2.09,48.26,Pokemon Shield,3.45,switch,200,role-playing,None
1.94,41.83,Pokemon Sword,3.29,switch,200,role-playing,None
2.56,39.23,Pokemon Quest,3.26,switch,200,role-playing,None
1.29,17.33,Pokemon HOME,3.08,switch,100,miscellaneous,None
2.55,12.19,Sonic Forces,3.06,switch,200,action,None
2.93,43.06,Pokemon UNITE,2.93,switch,100,strategy,None
1.44,8.73,1-2-Switch,2.88,switch,200,miscellaneous,None
